Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Pho Ao Sen Restaurant,The best pho place in the east bay,37.790303,-122.249401,http://phoaosen.com/about/,https://media-cdn.tripadvisor.com/media/photo-s/0f/7c/c3/36/yummy-beef-soup.jpg
Lake Merritt,A 3-mi walk around the lake,37.803454,-122.257923,https://en.wikipedia.org/wiki/Lake_Merritt,https://64.media.tumblr.com/c3bffd4d95a5ea73964b5062f9524cb9/24b69153706715b1-ac/s1280x1920/84a6fc61e04f3d92c23dcfc1d8317b788ad98e2a.jpg
Oakland Chinatown,"One of the oldest Chinatowns, started in the 1850s",37.801018,-122.271753,"https://en.wikipedia.org/wiki/Chinatown,_Oakland",http://res.cloudinary.com/simpleview/image/upload/v1567715464/clients/oakland/mcelvain_photo2_9fcbe3de-4d0e-489f-9371-ca6f7833d286.jpg
